"","ss.treatment","ss.replicate","ss.genotype","ss.replicate_n_treatment","ss.treatment_i_genotype","residualss"
"27",3204.11315411609,5641.09101895802,3046392.28478673,20310.5261729863,1628216.99791469,4633417.75270143
"28",124.209874860942,434088.618862554,24202752.0925118,714183.935971558,20032365.7576777,45999575.5351185
"29",2.05988112837076,205446.553175353,29637805.2341233,1448727.55479857,23701890.771019,53282184.0578198
"30",111049.644283444,185409.645142168,104918814.938436,2747938.8456043,70684376.6992415,181672581.138815
"31",1485.40914690495,5576856.75080574,251725657.896587,2758162.08914697,197205364.949573,514006806.222797
"32",775582.27627182,86357550.616209,2992563192.16872,37361275.0474062,1860033644.64289,5506197276.70706
"33",1747232.50176811,257688217.065499,4233541819.00006,29916426.8254023,3332887115.77409,8575285913.32863
"34",2797.50027384609,129941.95736967,47416767.4983411,314111.418056875,23025346.9962559,56233732.9859716
"35",105.540996164083,28661.3574407548,102814177.033744,230442.77868484,47318881.5315641,127674161.660284
"36",75498.8319421709,1087202.0477725,131050126.973317,85069.3217535615,49935544.2665641,136295134.971659
"37",1057.8546253792,11.945497630164,1411628.52507108,1960.69308056869,978204.531658768,2500241.19729858
"38",48.0910509254318,3961.72748815152,792418.830900471,0.000296208541840315,462945.629952607,1110883.86545024
"39",1213.71378185507,56872.51421801,2793409.72810426,8994.87925355416,1886468.84753555,4634719.01957346
"40",1111.71630175039,2190.71623222809,5871145.09393364,9131.85597156361,3270005.46189574,8359630.41744076
"41",3953.22083077766,10021.7825829387,4785661.97374406,3506.43612559233,2759102.05106635,6698090.60777252
"42",6796.30583032966,23398.221066351,8838396.98454974,14414.0360308057,2812178.17014219,8303515.7822749
"43",132.32687343657,117287.786943123,30409365.9372985,172355.119668245,17990346.0997156,46129527.4470143
"44",3077.59118577838,39064.5119431317,28717987.5806161,135514.773886256,17123722.7912796,40565555.1305687
"45",660.214239468798,105778.278293841,12048829.3727962,38708.9687677734,6004058.3713744,15046780.5541232
"46",9.81338868149032,317.77829383887,29475.963127962,106.350900473932,32172.6925355451,77586.1509004739
"47",73564.0850157738,26796520.8438153,882784511.619192,18023861.2633293,536971995.93692,1081612646.22768
"48",1305255.20504761,37452881.7501423,2652516697.48573,11619598.2227489,524778637.970451,1039979515.91209
"49",961680.956311703,14387318.6735773,24628274750.7857,1502159.76569891,519194332.909715,1118940743.76313
"50",3738307.84462023,50398226.0532942,1628875259.35061,88259159.1398225,1181810638.6258,2292163488.04901
"51",5446618.67316604,112898036.884574,1033837726.0645,53890650.4914813,768814486.241374,1773376459.4055
"52",1222545.34148455,371179553.246469,3589321822.79256,11672787.8447394,1008112386.41907,2249829436.45844
"53",1265443.78145504,199423951.714716,1464872587.01877,40429561.3559356,1279800265.98426,2947978548.5126
"54",15882.6426327825,93051.5852132738,32060365.7072985,534372.238151655,29729329.6088149,79961161.9184837
"55",2.36855606723111,20001.8201184833,494124.618009484,207.911386255873,320852.147867299,813062.297488148
"56",329665.402928412,132888.933554471,8006094631.24171,8311.08086490631,138613404.710001,354063760.26711
"57",26208.158818081,64871.8408530802,82554855.4002369,2498962.0794313,61145369.6627725,114317657.342417
"58",27996.5660690665,16223706.2772512,274288228.833839,2081914.08914691,174658495.896683,395046570.725308
"59",251303.331507623,688206.036113739,431662675.948105,5475321.83962077,217504526.319029,490187108.774407
"60",548048.903059959,37469089.8563036,358051630.873457,16500426.6587678,293263759.519076,573448632.593223
"61",1477534.71459007,39280831.7536492,807056255.932795,43038383.4456871,576862255.652701,1118210377.43754
"62",84120.2159719467,647235147.540882,2611979110.43091,141678766.873471,2540349956.07164,5160086041.30397
"63",10941.6168043017,34581146.9342412,1905418286.89682,740734.612511814,197159553.557914,399631382.288865
"64",534112.053049564,105664664.201801,1050065680.58024,65853187.1664569,808743257.406874,1884814710.97886
"65",5650.45030157245,37.6805924170185,542031.049146919,3806.51393364929,376863.880094786,852543.848341234
"66",297.022031264001,3770.45014218011,84692.0614218011,3.30312796207727,67305.2319194314,159734.604549763
"67",2054.77966198669,6484.30720379157,282753.446824644,1882.53584123217,235086.384336493,465806.627867299
"68",2873.93916860409,222309.766919431,4429599.82952607,203608.863744074,1906625.78817536,3575523.18383885
